Timestamp (Second),sinA,sinB,sinC
0.0,1.0E-4,1.0E-4,1.0E-4
0.0,0.0010999998,0.0011,0.0011
0.0,0.0020999985,0.0020999997,0.0021
0.0,0.003099995,0.0030999987,0.0030999999
0.0,0.0040999884,0.004099997,0.0040999996
0.0,0.005099978,0.0050999946,0.0050999993
0.0,0.006099962,0.0060999906,0.0060999985
0.0,0.0070999404,0.007099985,0.0070999977
0.0,0.008099912,0.008099978,0.0080999965
0.0,0.009099875,0.009099969,0.009099995
0.0,0.010099828,0.010099957,0.010099993
0.0,0.0110997725,0.011099943,0.01109999
0.0,0.012099705,0.012099926,0.012099988
0.0,0.013099626,0.013099906,0.013099985
0.0,0.014099533,0.014099883,0.014099982
0.0,0.015099426,0.015099857,0.015099977
0.0,0.016099304,0.016099826,0.016099973
0.0,0.017099166,0.017099792,0.017099967
0.0,0.018099012,0.018099753,0.01809996
0.0,0.019098839,0.01909971,0.019099953
0.0,0.020098647,0.020099662,0.020099945
0.0,0.021098435,0.021099608,0.021099938
0.0,0.0220982,0.02209955,0.022099929
0.0,0.023097945,0.023099486,0.023099918
0.0,0.024097668,0.024099417,0.024099907
0.0,0.025097365,0.02509934,0.025099894
0.0,0.026097037,0.026099259,0.026099881
0.0,0.027096683,0.027099172,0.027099866
0.0,0.028096301,0.028099075,0.028099852
0.0,0.029095894,0.029098973,0.029099835
0.0,0.030095454,0.030098863,0.030099818
0.0,0.031094987,0.031098746,0.0310998
0.0,0.032094486,0.03209862,0.03209978
0.0,0.033093955,0.03309849,0.03309976
0.0,0.03409339,0.03409835,0.034099735
0.0,0.035092793,0.0350982,0.03509971
0.0,0.03609216,0.03609804,0.036099687
0.0,0.03709149,0.03709787,0.03709966
0.0,0.038090784,0.038097695,0.03809963
0.0,0.039090037,0.03909751,0.0390996
0.0,0.040089253,0.040097315,0.04009957
0.0,0.04108843,0.04109711,0.041099537
0.0,0.042087566,0.04209689,0.042099502
0.0,0.04308666,0.043096665,0.043099467
0.0,0.044085708,0.044096425,0.044099428
0.0,0.04508471,0.045096178,0.04509939
0.0,0.046083674,0.04609592,0.046099346
0.0,0.047082588,0.047095645,0.047099303
0.0,0.048081454,0.048095364,0.048099257
0.0,0.049080275,0.049095068,0.04909921
0.001,0.050079044,0.05009476,0.05009916
0.001,0.051077764,0.05109444,0.05109911
0.001,0.052076433,0.05209411,0.052099057
0.001,0.05307505,0.05309376,0.053099003
0.001,0.054073613,0.054093402,0.054098945
0.001,0.055072125,0.05509303,0.055098884
0.001,0.056070577,0.056092642,0.056098823
0.001,0.057068978,0.057092242,0.057098757
0.001,0.058067318,0.058091827,0.058098692
0.001,0.059065603,0.0590914,0.059098624
0.001,0.060063828,0.060090955,0.06009855
0.001,0.06106199,0.061090495,0.06109848
0.001,0.062060095,0.06209002,0.062098403
0.001,0.06305814,0.063089535,0.06309833
0.001,0.06405611,0.06408903,0.06409825
0.001,0.06505403,0.0650885,0.06509816
0.001,0.06605188,0.06608797,0.06609807
0.001,0.06704966,0.06708741,0.067097984
0.001,0.068047374,0.06808684,0.0680979
0.001,0.06904502,0.06908625,0.0690978
0.001,0.0700426,0.070085645,0.07009771
0.001,0.07104011,0.07108503,0.071097605
0.001,0.07203755,0.07208438,0.0720975
0.001,0.07303491,0.07308373,0.07309739
0.001,0.07403221,0.074083045,0.07409729
0.001,0.075029425,0.075082354,0.07509717
0.001,0.07602657,0.07608164,0.07609706
0.001,0.07702364,0.077080905,0.07709695
0.001,0.078020625,0.078080155,0.07809682
0.001,0.07901754,0.07907938,0.0790967
0.001,0.08001437,0.08007859,0.08009657
0.001,0.081011124,0.08107778,0.08109644
0.001,0.0820078,0.082076944,0.08209631
0.001,0.08300439,0.08307609,0.08309618
0.001,0.0840009,0.08407522,0.08409604
0.001,0.08499732,0.08507432,0.08509589
0.001,0.08599366,0.086073406,0.08609574
0.001,0.08698991,0.08707247,0.087095596
0.001,0.087986074,0.08807151,0.08809544
0.001,0.08898216,0.08907053,0.08909529
0.001,0.08997814,0.090069525,0.090095125
0.001,0.09097404,0.0910685,0.09109496
0.001,0.09196985,0.09206745,0.092094794
0.001,0.092965566,0.09306638,0.09309462
0.001,0.09396119,0.094065286,0.09409445
0.001,0.09495672,0.09506417,0.09509426
0.001,0.09595215,0.096063025,0.09609409
0.001,0.09694749,0.09706186,0.097093895
0.001,0.09794273,0.09806067,0.0980937
0.001,0.09893787,0.099059455,0.09909351
0.001,0.09993292,0.10005821,0.10009331
0.001,0.10092786,0.10105695,0.10109311
0.001,0.101922706,0.10205566,0.10209291
0.001,0.10291745,0.103054345,0.10309269
0.001,0.103912085,0.104053,0.10409248
0.002,0.10490662,0.10505164,0.10509226
0.002,0.10590105,0.10605024,0.106092036
0.002,0.10689537,0.10704882,0.10709181
0.002,0.107889585,0.10804737,0.10809158
0.002,0.108883694,0.1090459,0.10909134
0.002,0.1098777,0.1100444,0.110091105
0.002,0.11087158,0.11104287,0.11109086
0.002,0.111865364,0.11204132,0.11209061
0.002,0.11285903,0.11303973,0.11309036
0.002,0.11385259,0.11403812,0.1140901
0.002,0.11484603,0.11503647,0.115089834
0.002,0.115839355,0.116034806,0.11608957
0.002,0.11683256,0.11703311,0.117089294
0.002,0.11782566,0.118031375,0.11808902
0.002,0.11881863,0.11902962,0.11908874
0.002,0.11981149,0.12002783,0.12008845
0.002,0.12080422,0.12102602,0.12108816
0.002,0.12179684,0.12202417,0.122087866
0.002,0.12278933,0.12302229,0.12308756
0.002,0.1237817,0.12402038,0.12408726
0.002,0.12477395,0.12501845,0.12508695
0.002,0.12576607,0.12601647,0.12608664
0.002,0.12675807,0.12701447,0.12708631
0.002,0.12774993,0.12801243,0.12808599
0.002,0.12874168,0.12901036,0.12908566
0.002,0.1297333,0.13000827,0.13008532
0.002,0.13072479,0.13100614,0.13108498
0.002,0.13171613,0.13200398,0.13208464
0.002,0.13270736,0.13300177,0.13308428
0.002,0.13369845,0.13399954,0.13408393
0.002,0.1346894,0.13499728,0.13508356
0.002,0.13568021,0.13599499,0.1360832
0.002,0.1366709,0.13699265,0.13708282
0.002,0.13766146,0.13799028,0.13808244
0.002,0.13865186,0.13898788,0.13908206
0.002,0.13964213,0.13998544,0.14008167
0.002,0.14063227,0.14098299,0.14108127
0.002,0.14162226,0.14198047,0.14208087
0.003,0.14261211,0.14297794,0.14308046
0.003,0.14360182,0.14397536,0.14408006
0.003,0.14459138,0.14497274,0.14507963
0.003,0.1455808,0.14597009,0.14607921
0.003,0.14657007,0.14696741,0.14707878
0.003,0.1475592,0.14796469,0.14807835
0.003,0.14854817,0.14896193,0.1490779
0.003,0.14953701,0.14995913,0.15007746
0.003,0.15052569,0.1509563,0.151077
0.003,0.15151422,0.15195343,0.15207654
0.003,0.1525026,0.15295053,0.15307608
0.003,0.15349083,0.15394758,0.15407561
0.003,0.1544789,0.15494458,0.15507513
0.003,0.15546682,0.15594156,0.15607464
0.003,0.15645458,0.1569385,0.15707415
0.003,0.15744218,0.1579354,0.15807365
0.003,0.15842964,0.15893225,0.15907316
0.003,0.15941693,0.15992907,0.16007264
0.003,0.16040406,0.16092585,0.16107213
0.003,0.16139103,0.16192259,0.1620716
0.003,0.16237783,0.16291928,0.16307108
0.003,0.16336448,0.16391593,0.16407055
0.003,0.16435097,0.16491255,0.16507
0.003,0.1653373,0.16590913,0.16606945
0.003,0.16632345,0.16690566,0.1670689
0.003,0.16730943,0.16790214,0.16806833
0.003,0.16829525,0.1688986,0.16906777
0.003,0.1692809,0.16989501,0.17006719
0.003,0.17026639,0.17089137,0.17106661
0.003,0.1712517,0.1718877,0.17206602
0.003,0.17223684,0.17288397,0.17306542
0.003,0.17322181,0.1738802,0.17406482
0.003,0.17420661,0.17487639,0.1750642
0.003,0.17519124,0.17587255,0.1760636
0.003,0.17617568,0.17686865,0.17706297
0.003,0.17715995,0.1778647,0.17806233
0.003,0.17814404,0.17886072,0.1790617
0.003,0.17912796,0.17985669,0.18006106
0.003,0.18011169,0.18085262,0.1810604
0.003,0.18109524,0.1818485,0.18205975
0.003,0.18207863,0.18284434,0.18305908
0.003,0.18306182,0.18384013,0.1840584
0.003,0.18404482,0.18483587,0.18505773
0.003,0.18502766,0.18583156,0.18605703
0.003,0.18601029,0.18682721,0.18705633
0.003,0.18699275,0.18782282,0.18805563
0.003,0.18797502,0.18881838,0.18905492
0.003,0.1889571,0.18981388,0.19005421
0.003,0.18993899,0.19080935,0.19105348
0.003,0.19092068,0.19180477,0.19205274
0.003,0.19190219,0.19280013,0.19305201
0.003,0.1928835,0.19379544,0.19405125
0.003,0.19386464,0.19479072,0.1950505
0.003,0.19484557,0.19578594,0.19604973
0.003,0.1958263,0.19678111,0.19704896
0.003,0.19680685,0.19777623,0.19804817
0.003,0.1977872,0.19877131,0.19904739
0.003,0.19876733,0.19976634,0.20004658
0.003,0.19974728,0.2007613,0.20104578
0.003,0.20072703,0.20175624,0.20204498
